央视频道, #genre#
CCTV1, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/1/index.m3u8#http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
CCTV2, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv2HD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/2/index.m3u8#http://39.164.160.249:9901/tsfile/live/0002_1.m3u8
CCTV3, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv3HD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/3/index.m3u8
CCTV4, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv4HD/__op/default/__f/index.m3u#http://221.205.55.24:9003/hls/4/index.m3u8#http://60.29.124.66:6080/hls/15/index.m3u8
CCTV5, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv5HD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/5/index.m3u8#http://58.57.40.22:9901/tsfile/live/1004_1.m3u8
CCTV5+, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv5SportHD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/6/index.m3u8#http://58.57.40.22:9901/tsfile/live/1005_1.m3u8
CCTV6, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv6HD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/7/index.m3u8#http://36.105.100.208:35455/gaoma/cctv6.m3u8
CCTV7, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv7HD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/8/index.m3u8
CCTV8, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv8HD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/9/index.m3u8#http://58.57.40.22:9901/tsfile/live/1008_1.m3u8
CCTV9, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv9HD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/10/index.m3u8#http://39.164.160.249:9901/tsfile/live/0009_1.m3u8
CCTV10, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv10HD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/11/index.m3u8#http://58.17.48.228:808/hls/10/index.m3u8
CCTV11, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv11HD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/12/index.m3u8#http://39.164.160.249:9901/tsfile/live/0011_1.m3u8
CCTV12, http://43.159.77.196:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/cctv12HD/__op/default/__f/index.m3u8#http://221.205.55.24:9003/hls/13/index.m3u8#http://39.164.160.249:9901/tsfile/live/0012_1.m3u8
CCTV13, http://111.43.126.240:9003/hls/26/index.m3u8#http://221.205.55.24:9003/hls/14/index.m3u8#https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV14, http://221.205.55.24:9003/hls/15/index.m3u8
